submit_data,food_type,description,amount,rating,comments,risk_factor,food_photo,location_name,location_photo,gps,gps_latitude,gps_longitude,gps_alt,gps_precision,imei,submit_date,_xform_id_string,_percentage_complete,_status,_id,_attachments,_potential_duplicates
2011-12-30,lunch,Chicken doner,9.0,delectible,Try the yogurt drink,low_risk,1325249519178.jpg,Durum Bufe,1325250480886.jpg,41.017082473263144 28.969059996306896 39.5 55.0,41.017082473263144,28.969059996306896,39.5,55.0,358490042584319,2011-12-30,good_eats,n/a,n/a,n/a,n/a,n/a
2011-12-30,street_meat,Turkish burger ,2.0,delectible,n/a,low_risk,n/a,n/a,n/a,41.01452808827162 28.97566007450223 57.4000244140625 30.0,41.01452808827162,28.97566007450223,57.4000244140625,30.0,358490042584319,2011-12-30,good_eats,n/a,n/a,n/a,n/a,n/a
2011-12-30,deserts,Baklava,2.75,epic_eat,Some of the best ever,low_risk,1325233872157.jpg,Karakoy Gulluoglu,1325233903109.jpg,41.02281326428056 28.977699307724833 39.9000244140625 40.0,41.02281326428056,28.977699307724833,39.9000244140625,40.0,358490042584319,2011-12-30,good_eats,n/a,n/a,n/a,n/a,n/a
2011-12-30,streat_sweets,Turkish donuts,2.0,delectible,Pure oil and honey,low_risk,1325233641666.jpg,Tahiri Osmanli Lokmaci,1325233694501.jpg,41.0182375414297 28.97094827145338 39.0 30.0,41.0182375414297,28.97094827145338,39.0,30.0,358490042584319,2011-12-30,good_eats,n/a,n/a,n/a,n/a,n/a
2011-12-30,streat_sweets,Fistikli,2.0,delectible,Great staff,low_risk,1325233793480.jpg,Tatlic Safa,1325233817453.jpg,41.016706293448806 28.970129443332553 44.9000244140625 40.0,41.016706293448806,28.970129443332553,44.9000244140625,40.0,358490042584319,2011-12-30,good_eats,n/a,n/a,n/a,n/a,n/a
2011-12-30,drunk_food,Shisha! ,20.0,delectible,Should have brought a board game! ,low_risk,1325234084489.jpg,Kosebasi Nargile ,1325234137252.jpg,n/a,n/a,n/a,n/a,n/a,358490042584319,2011-12-30,good_eats,n/a,n/a,n/a,n/a,n/a
2012-01-01,dinner,Testi Kebab Beef,14.0,delectible,Pottery kebab. Reminds me of chow mein. ,low_risk,1325447654476.jpg,Kale Terasse ,n/a,38.64260719623417 34.82954294420779 1133.699951171875 15.0,38.64260719623417,34.82954294420779,1133.699951171875,15.0,358490042584319,2012-01-01,good_eats,n/a,n/a,n/a,n/a,n/a
2011-12-31,lunch,Manti (Turkish ravioli) and sautéed mushrooms,12.0,delectible,n/a,low_risk,1325331368600.jpg,Farmville ,1325331442250.jpg,38.643232850000004 34.8287586 0.0 65.0,38.643232850000004,34.8287586,0.0,65.0,358490042584319,2011-12-31,good_eats,n/a,n/a,n/a,n/a,n/a
2012-01-03,lunch,Tander Doner,18.0,epic_eat,n/a,low_risk,1325593910357.jpg,Ustabasi ,1325593932637.jpg,38.420649245381355 27.136479495093226 56.9000244140625 35.0,38.420649245381355,27.136479495093226,56.9000244140625,35.0,358490042584319,2012-01-03,good_eats,n/a,n/a,n/a,n/a,n/a
2012-01-04,lunch,Cotsi ,8.0,delectible,n/a,low_risk,1325672462974.jpg,Tolga Copsis ,1325672494341.jpg,37.951282449999994 27.3700048 0.0 85.0,37.951282449999994,27.3700048,0.0,85.0,358490042584319,2012-01-04,good_eats,n/a,n/a,n/a,n/a,n/a
2012-01-05,caffeination,Turkish coffee,2.5,epic_eat,n/a,low_risk,1325755277925.jpg,n/a,1325755322963.jpg,37.95044002588838 27.37236267887056 55.70001220703125 20.0,37.95044002588838,27.37236267887056,55.70001220703125,20.0,358490042584319,2012-01-05,good_eats,n/a,n/a,n/a,n/a,n/a
2012-01-06,deserts,Rice Pudding ,6.0,epic_eat,"Maybe best rice pudding ever, very rich, best shared. ",low_risk,1325883519633.jpg,Edebiyat Kiraathanesi ,1325883576343.jpg,41.00785487797111 28.976559955626726 98.5999755859375 25.0,41.00785487797111,28.976559955626726,98.5999755859375,25.0,358490042584319,2012-01-06,good_eats,n/a,n/a,n/a,n/a,n/a
2012-01-15,lunch,Portuguese Chicken,20.0,delectible,Get the fries over potatoes ,low_risk,1326658785039.jpg,Frango,1326658821173.jpg,45.527838800000005 -73.57514007142858 0.0 60.0,45.527838800000005,-73.57514007142858,0.0,60.0,358490042584319,2012-01-15,good_eats,n/a,n/a,n/a,n/a,n/a
2012-01-27,lunch,Beef stew and ugali ,200.0,delectible,Better with Pili Pili ,low_risk,1327658854849.jpg,KP's,n/a,-1.2834895 36.81660155 0.0 61.0,-1.2834895,36.81660155,0.0,61.0,358490042584319,2012-01-27,good_eats,n/a,n/a,n/a,n/a,n/a
2012-01-28,dinner,Sushi ,1600.0,epic_eat,Freaking awesome ,low_risk,1327772438992.jpg,Furusato,n/a,-1.2705402 36.8167218 0.0 75.0,-1.2705402,36.8167218,0.0,75.0,358490042584319,2012-01-28,good_eats,n/a,n/a,n/a,n/a,n/a
2012-02-27,dinner,Hdh,45.0,epic_eat,Was good,low_risk,1330377896788.jpg,Class,n/a,40.8076961 -73.9580544 0.0 588.0,40.8076961,-73.9580544,0.0,588.0,358490042584319,2012-02-27,good_eats,n/a,n/a,n/a,n/a,n/a
2012-03-25,morning_food,Pizza Biongiornio ,12.0,delectible,n/a,low_risk,1332692558248.jpg,n/a,n/a,49.26994343 -123.15297940999999 0.0 56.0,49.26994343,-123.15297940999999,0.0,56.0,358490042584319,2012-03-25,good_eats,n/a,n/a,n/a,n/a,n/a
